;;x;y;fx;fy
;;120;-120;52;0
;;120;-120;52;0
;;120;-120;52;0
;;120;-120;52;0
;;120;-120;52;0
;;120;-118;0;143
;;120;-115;0;143
;;120;-114;0;143
;;120;-111;0;143
;;120;-107;0;143
;;120;-107;0;110
;;120;-107;0;110
;;120;-107;0;110
;;120;-107;0;110
;;120;-107;0;110
;;120;-107;0;110
;;120;-104;0;274
;;120;-95;0;274
;;120;-90;0;274
;;120;-85;0;274
;;120;-81;0;274
;;120;-73;0;301
;;120;-69;0;301
;;120;-66;0;301
;;120;-62;0;301
;;120;-55;0;391
;;120;-51;0;391
;;120;-47;0;391
;;120;-44;0;391
;;120;-36;0;391
;;120;-33;0;363
;;120;-29;0;363
;;120;-25;0;363
;;120;-18;0;363
;;120;-14;0;363
;;120;-11;0;396
;;120;-7;0;396
;;120;0;0;396
;;120;3;0;396
;;120;6;0;396
;;120;10;0;449
;;120;17;0;449
;;120;21;0;449
;;120;25;0;449
;;120;28;0;449
;;120;36;0;426
;;120;39;0;426
;;120;43;0;426
;;120;47;0;426
;;120;54;0;426
;;120;58;0;414
;;120;61;0;414
;;120;65;0;414
;;120;72;0;414
;;120;76;0;414
;;120;79;0;386
;;120;83;0;386
;;120;90;0;386
;;120;94;0;386
;;120;98;0;386
;;120;101;0;316
;;120;109;0;316
;;120;112;0;316
;;120;116;0;316
;;120;120;0;316
;;120;127;0;225
;;120;130;0;225
;;120;130;0;225
;;120;130;0;225
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;-66;0
;;120;130;-66;0
;;120;130;-66;0
;;120;130;-66;0
;;120;130;-66;0
;;118;130;-229;0
;;114;130;-229;0
;;107;130;-229;0
;;103;130;-229;-38
;;99;130;-229;-38
;;95;130;-272;-38
;;84;130;-272;-38
;;79;130;-272;-38
;;73;129;-272;-126
;;69;128;-272;-126
;;65;124;-64;-126
;;65;122;-64;-126
;;65;121;-64;-126
;;65;119;-64;-508
;;65;112;-91;-508
;;65;108;-91;-508
;;65;105;-91;-508
;;65;101;-91;-508
;;65;94;-91;-592
;;65;90;-91;-592
;;63;85;-152;-592
;;60;81;-152;-592
;;56;72;-152;-592
;;54;68;-152;-502
;;51;63;-152;-502
;;48;60;-227;-502
;;42;53;-227;-502
;;38;49;-227;-502
;;35;46;-227;-517
;;32;42;-227;-517
;;27;34;-183;-517
;;24;29;-183;-517
;;22;25;-183;-517
;;20;21;-183;-536
;;16;12;-92;-536
;;16;8;-92;-536
;;16;5;-92;-536
;;16;1;-92;-536
;;16;-5;-92;-532
;;16;-9;-157;-532
;;13;-14;-157;-532
;;11;-18;-157;-532
;;7;-27;-157;-511
;;4;-31;-157;-511
;;2;-36;-206;-511
;;0;-39;-206;-511
;;-7;-46;-206;-511
;;-10;-49;-206;-556
;;-14;-53;-206;-556
;;-17;-56;-185;-556
;;-22;-65;-185;-556
;;-24;-70;-185;-556
;;-26;-74;-185;-556
;;-28;-78;-185;-498
;;-33;-87;-133;-498
;;-34;-90;-133;-498
;;-36;-94;-133;-498
;;-38;-97;-133;-498
;;-41;-104;-133;-419
;;-44;-109;-160;-419
;;-46;-113;-160;-419
;;-48;-117;-160;-419
;;-53;-126;-160;-231
;;-55;-129;-160;-231
;;-57;-130;-159;-231
;;-60;-130;-159;-231
;;-64;-130;-159;-231
;;-67;-130;-159;-188
;;-69;-130;-159;-188
;;-72;-130;-186;-188
;;-77;-130;-186;-188
;;-80;-130;-186;-188
;;-83;-130;-186;-230
;;-86;-130;-186;-230
;;-88;-130;-154;-230
;;-93;-130;-154;-230
;;-95;-130;-154;-230
;;-98;-130;-154;-264
;;-100;-130;-154;-264
;;-104;-130;-140;-264
;;-106;-130;-140;-264
;;-108;-130;-140;-264
;;-110;-130;-140;-156
;;-114;-130;-66;-156
;;-114;-130;-66;-156
;;-114;-130;-66;-156
;;-114;-130;-66;-63
;;-114;-130;-66;-63
;;-114;-130;-66;-63
;;-114;-130;0;-63
;;-114;-130;0;-63
;;-114;-130;0;-63
;;-114;-130;0;-51
;;-114;-130;0;-51
;;-114;-130;0;-51
;;-114;-130;0;-51
;;-114;-130;0;-51
;;-114;-130;0;-34
;;-114;-130;0;-34
;;-114;-130;0;-34
;;-114;-130;0;-34
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;0;0
;;-114;-130;92;0
;;-114;-130;92;0
;;-114;-130;92;0
;;-114;-130;92;0
;;-114;-130;92;0
;;-111;-130;272;0
;;-101;-130;272;0
;;-96;-130;272;0
;;-92;-130;272;0
;;-87;-130;272;0
;;-79;-130;617;0
;;-75;-130;617;0
;;-72;-130;617;0
;;-68;-130;617;37
;;-61;-130;627;37
;;-57;-130;627;37
;;-54;-130;627;37
;;-50;-130;627;37
;;-43;-130;627;88
;;-39;-130;673;88
;;-35;-130;673;88
;;-32;-130;673;88
;;-24;-130;673;108
;;-21;-130;673;108
;;-17;-130;718;108
;;-13;-130;718;108
;;-6;-130;718;108
;;-3;-130;718;88
;;0;-130;718;88
;;4;-130;738;88
;;11;-130;738;88
;;15;-130;738;88
;;18;-130;738;88
;;22;-130;738;67
;;29;-130;710;67
;;33;-130;710;67
;;37;-130;710;67
;;40;-130;710;67
;;48;-130;710;47
;;51;-130;739;47
;;55;-130;739;47
;;59;-130;739;47
;;66;-130;739;32
;;70;-130;739;32
;;73;-130;606;32
;;77;-130;606;32
;;84;-130;606;32
;;88;-130;606;0
;;91;-130;606;0
;;95;-130;359;0
;;102;-130;359;0
;;106;-130;359;0
;;110;-130;359;0
;;113;-130;359;0
;;116;-130;94;0
;;116;-130;94;0
;;116;-130;94;0
;;116;-130;94;0
;;116;-130;94;-38
;;116;-130;0;-38
;;116;-130;0;-38
;;116;-130;0;-38
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;81;0
;;116;-130;81;0
;;116;-130;81;0
;;116;-130;81;0
;;116;-130;92;0
;;116;-130;92;0
;;116;-130;92;0
;;116;-130;92;0
;;116;-130;92;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;0;0
;;116;-130;-30;0
;;116;-130;-30;41
;;116;-130;-30;41
;;116;-130;-30;41
;;116;-130;-30;41
;;116;-130;-59;41
;;116;-130;-59;94
;;116;-130;-59;94
;;116;-130;-59;94
;;116;-130;-59;94
;;116;-130;-66;94
;;116;-128;-66;139
;;116;-126;-66;139
;;116;-124;-66;139
;;116;-122;-66;139
;;116;-118;-87;139
;;116;-115;-87;181
;;116;-113;-87;181
;;116;-108;-87;181
;;115;-105;-168;181
;;112;-103;-168;181
;;110;-102;-168;0
;;105;-102;-168;0
;;103;-102;-168;0
;;101;-102;-42;0
;;101;-102;-42;0
;;101;-97;-42;400
;;101;-93;-42;400
;;101;-89;-42;400
;;101;-86;0;400
;;101;-82;0;400
;;101;-80;0;65
;;101;-80;0;65
;;101;-80;0;65
;;101;-80;0;65
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;-31
;;101;-80;0;-31
;;101;-80;0;-31
;;101;-80;0;-31
;;101;-80;0;-31
;;101;-80;0;-36
;;101;-80;48;-36
;;101;-80;48;-36
;;101;-80;48;-36
;;101;-80;48;-36
;;101;-80;0;-32
;;101;-80;0;-32
;;101;-80;0;-32
;;101;-80;0;-32
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;0
;;101;-80;0;34
;;101;-80;0;34
;;101;-80;0;34
;;101;-80;0;34
;;101;-80;-34;34
;;101;-80;-34;266
;;101;-75;-34;266
;;101;-70;-34;266
;;101;-66;-34;266
;;101;-56;-90;266
;;101;-51;-90;266
;;101;-50;-90;120
;;101;-48;-90;120
;;101;-45;-90;120
;;100;-43;-142;120
;;98;-41;-142;120
;;96;-41;-142;0
;;92;-41;-142;0
;;90;-41;-142;0
;;89;-41;-54;0
;;89;-41;-54;0
;;89;-41;-54;0
;;89;-41;-54;0
;;89;-41;-54;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;0
;;89;-41;0;-46
;;89;-41;0;-46
;;89;-41;0;-46
;;89;-41;0;-46
;;89;-41;0;-46
;;89;-41;0;-46
;;89;-41;0;-74
;;89;-41;0;-74
;;89;-41;0;-74
;;89;-41;0;-74
;;89;-41;0;-84
;;89;-41;0;-84
;;89;-41;0;-84
;;89;-41;0;-84
;;89;-41;0;-84
;;89;-41;0;-74
;;89;-41;45;-74
;;89;-41;45;-74
;;89;-41;45;-74
;;89;-41;45;-74
;;89;-41;56;-74
;;89;-41;56;-74
;;89;-41;56;-74
;;89;-41;56;-74
;;89;-41;56;-74
;;89;-41;56;-76
;;89;-41;26;-76
;;89;-41;26;-76
;;89;-41;26;-76
;;89;-41;26;-76
;;89;-41;26;-48
;;89;-41;0;-48
;;89;-41;0;-48
;;89;-41;0;-48
;;89;-41;0;-48
;;89;-41;0;-48
;;89;-41;0;0
;;89;-41;-109;0
;;89;-41;-109;0
;;89;-41;-109;99
;;89;-41;-109;99
;;89;-41;-109;99
;;87;-41;-184;99
;;84;-41;-184;99
;;79;-38;-184;296
;;76;-34;-184;296
;;74;-29;-184;296
;;72;-25;-182;296
;;69;-20;-182;296
;;67;-16;-182;296
;;65;-11;-182;430
;;60;-2;-182;430
;;57;5;-125;430
;;57;5;-125;430
;;55;8;-125;430
;;51;14;-125;173
;;50;16;-125;173
;;46;21;-145;173
;;44;24;-145;173
;;42;25;-145;66
;;40;25;-145;66
;;36;25;-152;66
;;34;25;-152;66
;;31;25;-152;66
;;27;27;-152;145
;;25;30;-152;145
;;23;32;-128;145
;;21;34;-128;145
;;20;36;-128;145
;;16;38;-128;41
;;14;38;-128;41
;;13;38;-127;41
;;11;38;-127;41
;;8;38;-127;41
;;6;39;-127;127
;;2;42;-127;127
;;2;44;-107;127
;;2;46;-107;127
;;2;49;-107;116
;;2;51;-107;116
;;2;52;-107;116
;;1;53;-112;116
;;0;55;-112;116
;;-1;56;-112;116
;;-4;61;-112;162
;;-5;63;-112;162
;;-7;66;-114;162
;;-8;68;-114;162
;;-9;70;-114;162
;;-12;72;-114;98
;;-14;72;-114;98
;;-15;72;-119;98
;;-18;72;-119;98
;;-20;73;-119;271
;;-22;78;-119;271
;;-23;83;-119;271
;;-26;92;-126;271
;;-28;97;-126;271
;;-30;101;-126;148
;;-31;103;-126;148
;;-35;107;-116;148
;;-36;110;-116;148
;;-38;112;-116;148
;;-39;114;-116;159
;;-42;118;-116;159
;;-44;121;-98;159
;;-44;123;-98;159
;;-44;126;-98;159
;;-44;129;-98;45
;;-44;129;-98;45
;;-44;129;-98;45
;;-44;129;-45;45
;;-44;129;-45;45
;;-44;129;-45;0
;;-44;129;-45;0
;;-44;129;-45;0
;;-44;129;-39;0
;;-44;129;-39;0
;;-44;129;-39;0
;;-44;129;-39;0
;;-44;129;-27;0
;;-44;129;-27;0
;;-44;129;-27;0
;;-44;129;-27;0
;;-44;129;-27;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;0
;;-44;129;0;-38
;;-44;129;0;-38
;;-44;129;-101;-38
;;-44;129;-101;-38
;;-44;129;-101;-38
;;-44;129;-101;-38
;;-44;129;-101;-42
;;-44;129;-101;-42
;;-51;129;-249;-42
;;-55;129;-249;-42
;;-59;129;-249;-42
;;-63;129;-249;-51
;;-71;129;-224;-51
;;-74;129;-224;-51
;;-78;129;-224;-51
;;-86;129;-224;-71
;;-90;129;-224;-71
;;-92;129;-135;-71
;;-94;129;-135;-71
;;-96;129;-135;-71
;;-98;129;-135;-71
;;-102;129;-135;-86
;;-103;129;-83;-86
;;-103;129;-83;-86
;;-103;129;-83;-86
;;-103;129;-83;-105
;;-103;129;-83;-105
;;-103;129;-59;-105
;;-103;129;-59;-105
;;-103;129;-59;-105
;;-103;129;-59;-77
;;-103;129;-59;-77
;;-103;129;-27;-77
;;-103;129;-27;-77
;;-103;129;-27;-77
;;-103;129;-27;-40
;;-103;129;-27;-40
;;-103;129;0;-40
;;-103;129;0;-40
;;-103;129;0;-40
;;-103;129;0;-58
;;-103;129;0;-58
;;-103;129;0;-58
;;-103;129;0;-58
;;-103;129;0;-58
;;-103;129;0;-38
;;-103;129;0;-38
;;-103;129;0;-38
;;-103;129;0;-38
;;-103;129;0;-38
;;-103;129;0;-44
;;-103;129;0;-44
;;-103;129;0;-44
;;-103;129;0;-44
;;-103;129;0;-44
;;-103;129;0;-51
;;-103;129;0;-51
;;-103;129;0;-51
;;-103;129;0;-51
;;-103;129;0;-51
;;-103;129;0;-44
;;-103;129;0;-44
;;-103;129;0;-44
;;-103;129;0;-44
;;-103;129;0;-49
;;-103;129;0;-49
;;-103;129;0;-49
;;-103;129;0;-49
;;-103;129;0;-49
;;-103;129;0;-100
;;-103;129;0;-100
;;-103;129;0;-100
;;-103;129;-96;-100
;;-103;129;-96;-100
;;-103;129;-96;-90
;;-103;129;-96;-90
;;-103;129;-96;-90
;;-105;129;-130;-90
;;-106;129;-130;-90
;;-108;129;-130;-90
;;-112;129;-130;-65
;;-113;129;-130;-65
;;-115;129;-130;-65
;;-116;129;-87;-65
;;-116;129;-87;-65
