;;x;y;fx;fy
;;-120;-130;-267;0
;;-124;-130;-267;0
;;-129;-130;-267;0
;;-137;-130;-267;0
;;-139;-130;-68;0
;;-139;-130;-68;0
;;-139;-130;-68;0
;;-139;-130;-68;109
;;-139;-130;-68;109
;;-139;-130;0;109
;;-139;-130;0;109
;;-139;-130;0;0
;;-139;-130;0;0
;;-137;-130;328;0
;;-133;-130;328;0
;;-130;-130;328;0
;;-122;-130;328;101
;;-119;-130;328;101
;;-115;-130;456;101
;;-111;-130;456;101
;;-108;-130;456;101
;;-100;-129;456;133
;;-97;-128;456;133
;;-89;-124;395;133
;;-85;-123;395;133
;;-81;-121;395;133
;;-77;-120;395;132
;;-70;-116;395;132
;;-66;-115;443;132
;;-62;-113;443;132
;;-58;-112;443;132
;;-54;-110;443;59
;;-47;-110;443;59
;;-44;-110;479;59
;;-40;-110;479;59
;;-33;-110;479;59
;;-33;-110;479;59
;;-25;-110;479;53
;;-22;-110;479;53
;;-18;-110;516;53
;;-11;-110;516;53
;;-7;-110;516;53
;;-4;-110;516;0
;;0;-110;516;0
;;7;-110;536;0
;;10;-110;536;0
;;14;-110;536;0
;;18;-110;536;0
;;25;-110;521;0
;;29;-110;521;0
;;32;-110;521;0
;;39;-110;521;0
;;43;-110;521;0
;;47;-110;479;0
;;50;-110;479;0
;;54;-110;479;0
;;58;-110;479;0
;;65;-110;479;0
;;69;-110;398;0
;;72;-110;398;0
;;76;-110;398;0
;;83;-110;398;0
;;87;-110;398;0
;;94;-110;347;0
;;94;-110;347;0
;;101;-110;347;0
;;105;-110;347;0
;;113;-110;91;0
;;113;-110;91;0
;;113;-110;91;0
;;113;-110;91;0
;;113;-110;91;0
;;113;-110;91;0
;;113;-110;0;0
;;113;-110;0;0
;;113;-110;0;0
;;113;-110;0;0
;;113;-110;0;0
;;113;-110;0;0
;;113;-110;0;0
;;113;-110;0;0
;;113;-110;0;0
;;113;-110;0;0
;;113;-110;-27;0
;;113;-110;-27;0
;;113;-110;-27;0
;;113;-110;-27;90
;;113;-110;-27;90
;;113;-110;-94;90
;;113;-110;-94;90
;;113;-110;-94;90
;;113;-110;-94;98
;;112;-110;-152;98
;;110;-110;-152;98
;;108;-110;-152;98
;;105;-110;-152;98
;;101;-105;-152;242
;;99;-102;-196;242
;;96;-98;-196;242
;;93;-95;-196;242
;;86;-89;-196;282
;;83;-84;-196;282
;;80;-79;-159;282
;;75;-70;-159;282
;;73;-65;-159;282
;;71;-61;-159;282
;;68;-59;-159;139
;;63;-55;-186;139
;;61;-53;-186;139
;;58;-51;-186;139
;;53;-48;-186;71
;;50;-48;-186;71
;;47;-48;-197;71
;;44;-48;-197;71
;;41;-48;-197;71
;;35;-47;-197;130
;;32;-46;-197;130
;;29;-44;-173;130
;;26;-42;-173;130
;;21;-39;-173;130
;;19;-35;-173;263
;;17;-31;-173;263
;;14;-26;-173;263
;;9;-17;-188;263
;;6;-12;-188;263
;;4;-8;-188;122
;;1;-7;-188;122
;;-1;-5;-188;122
;;-6;-2;-175;122
;;-8;0;-175;122
;;-11;0;-175;59
;;-17;0;-175;59
;;-20;0;-180;59
;;-23;0;-180;59
;;-25;0;-180;59
;;-28;0;-180;165
;;-33;5;-180;165
;;-36;8;-180;165
;;-38;10;-180;165
;;-43;15;-180;165
;;-46;19;-180;271
;;-48;24;-180;271
;;-53;34;-143;271
;;-54;38;-143;271
;;-56;43;-143;271
;;-58;46;-143;135
;;-60;48;-143;135
;;-62;50;-143;135
;;-63;54;-106;135
;;-63;56;-106;135
;;-63;60;-106;186
;;-63;63;-106;186
;;-63;65;-98;186
;;-63;68;-98;186
;;-63;71;-98;186
;;-63;73;-98;138
;;-63;77;-98;138
;;-63;79;-96;138
;;-63;81;-96;138
;;-63;84;-96;0
;;-63;84;-96;0
;;-63;84;-96;0
;;-63;84;-149;0
;;-68;84;-149;0
;;-70;84;-149;0
;;-73;84;-149;0
;;-75;84;-149;0
;;-77;84;-225;0
;;-85;84;-225;0
;;-89;84;-225;78
;;-93;84;-225;78
;;-96;84;-225;78
;;-102;84;-137;78
;;-104;84;-137;78
;;-106;84;-137;78
;;-108;88;-137;299
;;-111;95;-137;299
;;-112;98;-92;299
;;-112;102;-92;299
;;-112;106;-92;299
