;;x;y;fx;fy
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;29
;;120;-120;0;29
;;120;-120;0;29
;;120;-120;-26;29
;;120;-120;-26;29
;;120;-119;-26;201
;;120;-116;-26;201
;;120;-109;-31;201
;;120;-106;-31;201
;;120;-103;-31;201
;;120;-100;-31;268
;;120;-90;-31;268
;;120;-85;-31;268
;;120;-81;0;268
;;120;-76;0;268
;;120;-68;0;228
;;120;-64;0;228
;;120;-61;0;228
;;120;-58;0;228
;;120;-51;0;228
;;120;-48;0;209
;;120;-44;0;209
;;120;-41;0;209
;;120;-34;0;209
;;120;-31;0;209
;;120;-28;0;207
;;120;-25;0;207
;;120;-18;0;207
;;120;-15;0;207
;;120;-12;0;207
;;120;-9;0;188
;;120;-4;0;188
;;120;-1;0;188
;;120;1;0;188
;;120;3;0;188
;;120;9;0;197
;;120;12;0;197
;;120;16;0;197
;;120;19;0;197
;;120;25;0;184
;;120;28;0;184
;;120;30;0;184
;;120;33;0;184
;;120;38;0;184
;;120;41;0;176
;;120;43;0;176
;;120;46;0;176
;;120;51;0;176
;;120;53;0;176
;;120;56;0;176
;;120;58;0;169
;;120;63;0;169
;;120;66;0;169
;;120;68;0;169
;;120;71;0;169
;;120;76;0;181
;;120;78;0;181
;;120;81;0;181
;;120;86;0;181
;;120;88;0;134
;;120;90;0;134
;;120;92;0;134
;;120;95;0;134
;;120;97;0;134
;;120;98;0;114
;;120;100;0;114
;;120;103;0;114
;;120;104;0;114
;;120;106;0;114
;;120;107;0;141
;;120;111;0;141
;;120;113;0;141
;;120;115;0;141
;;120;117;0;141
;;120;121;0;150
;;120;124;0;150
;;120;126;0;150
;;120;128;0;150
;;120;130;0;32
;;120;130;0;32
;;120;130;0;32
;;120;130;0;32
;;120;130;0;32
;;120;130;0;32
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;0
;;120;130;0;-35
;;120;130;0;-35
;;120;130;0;-35
;;120;130;0;-35
;;120;130;0;-35
;;120;129;-47;-126
;;120;127;-47;-126
;;120;123;-47;-126
;;120;122;-47;-126
;;120;120;-47;-126
;;120;118;-71;-171
;;120;113;-71;-171
;;120;110;-71;-171
;;120;108;-71;-171
;;120;105;-71;-171
;;117;100;-147;-189
;;115;97;-147;-189
;;113;94;-147;-189
;;111;91;-147;-189
;;107;85;-257;-179
;;102;82;-257;-179
;;97;80;-257;-179
;;88;75;-257;-179
;;83;73;-257;-179
;;78;70;-228;-100
;;75;70;-228;-100
;;71;70;-228;-100
;;63;70;-228;-100
;;59;70;-228;-100
;;56;70;-228;-100
;;53;70;-144;-100
;;49;65;-144;-189
;;47;62;-144;-189
;;45;59;-144;-189
;;43;56;-144;-189
;;42;50;-98;-287
;;42;46;-98;-287
;;42;43;-98;-287
;;42;39;-98;-287
;;42;32;-130;-287
;;40;28;-130;-308
;;38;25;-130;-308
;;36;21;-130;-308
;;33;14;-130;-308
;;31;10;-201;-308
;;27;7;-201;-298
;;24;4;-201;-298
;;17;-2;-201;-298
;;14;-6;-201;-298
;;11;-9;-210;-298
;;7;-12;-210;-312
;;1;-19;-210;-312
;;-2;-23;-210;-312
;;-5;-26;-210;-312
;;-8;-30;-156;-312
;;-13;-39;-156;-279
;;-15;-44;-156;-279
;;-18;-48;-156;-279
;;-20;-53;-156;-279
;;-24;-63;-145;-279
;;-26;-66;-145;-197
;;-28;-69;-145;-197
;;-30;-72;-145;-197
;;-34;-78;-145;-197
;;-36;-81;-132;-197
;;-38;-84;-132;-223
;;-40;-88;-132;-223
;;-43;-94;-132;-223
;;-45;-98;-132;-223
;;-46;-101;-138;-223
;;-48;-103;-138;-122
;;-52;-107;-138;-122
;;-54;-109;-138;-122
;;-55;-110;-138;-122
;;-57;-112;-147;-122
;;-61;-115;-147;-116
;;-64;-117;-147;-116
;;-66;-118;-147;-116
;;-68;-120;-147;-116
;;-72;-122;-137;-90
;;-74;-122;-137;-90
;;-75;-122;-137;-90
;;-77;-122;-137;-90
;;-81;-122;-109;-90
;;-81;-122;-109;-103
;;-81;-122;-109;-103
;;-81;-122;-109;-103
;;-81;-122;-109;-103
;;-81;-122;-108;-103
;;-81;-122;-108;-171
;;-81;-127;-108;-171
;;-81;-130;-108;-171
;;-81;-130;-108;-171
;;-81;-130;-188;-171
;;-84;-130;-188;-106
;;-90;-130;-188;-106
;;-92;-130;-188;-106
;;-95;-130;-188;-106
;;-98;-130;-188;-106
;;-104;-130;-207;-106
;;-107;-130;-207;-74
;;-110;-130;-207;-74
;;-113;-130;-207;-74
;;-116;-130;-207;-74
;;-120;-130;-135;-74
;;-122;-130;-135;-41
;;-124;-130;-135;-41
;;-128;-129;-135;111
;;-129;-127;0;111
;;-129;-126;0;111
;;-129;-124;0;111
;;-123;-121;256;111
;;-118;-121;256;103
;;-113;-121;256;103
;;-109;-121;256;103
;;-100;-121;563;103
;;-96;-121;563;103
;;-92;-121;563;103
;;-85;-121;563;36
;;-81;-121;563;36
;;-79;-121;837;36
;;-83;-121;837;36
;;-90;-121;837;139
;;-94;-119;837;139
;;-99;-117;837;139
;;-103;-115;1081;139
;;-113;-111;1081;139
;;-117;-109;1081;141
;;-122;-107;1081;141
;;-127;-105;1081;141
;;-131;-103;1081;141
;;-132;-99;1408;141
;;-128;-97;1408;141
;;-124;-97;1408;0
;;-117;-97;1408;0
;;-113;-97;1408;0
;;-110;-97;609;0
;;-106;-97;609;0
;;-99;-97;609;0
;;-95;-97;609;-36
;;-91;-97;609;-36
;;-90;-97;0;-36
;;-90;-97;0;-36
;;-90;-97;0;-36
;;-90;-97;0;-77
;;-90;-97;0;-77
;;-90;-97;0;-77
;;-90;-97;0;-77
;;-90;-97;0;-77
;;-90;-97;0;-76
;;-90;-97;0;-76
;;-90;-97;0;-76
;;-90;-97;0;-76
;;-90;-97;0;-76
;;-90;-97;0;-35
;;-89;-97;237;-35
;;-86;-97;237;-35
;;-82;-97;237;-35
;;-76;-97;237;-118
;;-71;-98;237;-118
;;-67;-100;193;-118
;;-61;-102;193;-118
;;-58;-104;193;-118
;;-56;-105;193;-118
;;-53;-107;193;-118
