;;x;y;fx;fy;;;;;
;;-122;-130;719;0;;;;;
;;-119;-130;719;0;;;;;
;;-111;-130;719;0;;;;;
;;-108;-130;1085;0;;;;;
;;-111;-130;1085;0;;;;;
;;-115;-130;1085;0;;;;;
;;-122;-130;1085;0;;;;;
;;-126;-130;1085;74;;;;;
;;-129;-130;1085;74;;;;;
;;-127;-130;1351;74;;;;;
;;-120;-130;1351;74;;;;;
;;-116;-130;1351;74;;;;;
;;-113;-130;1351;69;;;;;
;;-109;-130;1351;69;;;;;
;;-111;-130;1616;69;;;;;
;;-118;-130;1616;69;;;;;
;;-122;-130;1616;69;;;;;
;;-125;-130;1616;93;;;;;
;;-129;-130;1616;93;;;;;
;;-125;-130;1839;93;;;;;
;;-121;-130;1839;93;;;;;
;;-118;-130;1839;93;;;;;
;;-110;-130;1839;34;;;;;
;;-107;-130;1392;34;;;;;
;;-103;-130;1392;34;;;;;
;;-99;-130;1392;34;;;;;
;;-92;-130;1392;0;;;;;
;;-88;-130;1392;0;;;;;
;;-84;-130;272;0;;;;;
;;-80;-130;272;0;;;;;
;;-70;-130;272;0;;;;;
;;-65;-130;272;0;;;;;
;;-61;-130;272;0;;;;;
;;-56;-130;0;0;;;;;
;;-56;-130;0;0;;;;;
;;-56;-130;0;0;;;;;
;;-56;-129;0;197;;;;;
;;-56;-126;0;197;;;;;
;;-56;-123;117;197;;;;;
;;-53;-117;117;197;;;;;
;;-52;-114;117;197;;;;;
;;-50;-111;117;197;;;;;
;;-49;-111;117;-26;;;;;
;;-44;-111;667;-26;;;;;
;;-40;-111;667;-26;;;;;
;;-37;-111;667;-26;;;;;
;;-33;-111;667;-26;;;;;
;;-26;-111;667;0;;;;;
;;-22;-111;293;0;;;;;
;;-19;-111;293;0;;;;;
;;-15;-111;293;0;;;;;
;;-8;-111;293;0;;;;;
;;-4;-111;293;0;;;;;
;;0;-111;536;0;;;;;
;;2;-111;536;0;;;;;
;;10;-111;536;0;;;;;
;;13;-111;536;-51;;;;;
;;17;-111;536;-51;;;;;
;;14;-111;979;-51;;;;;
;;11;-111;979;-51;;;;;
;;7;-111;979;-51;;;;;
;;4;-111;979;-86;;;;;
;;-2;-111;1183;-86;;;;;
;;-4;-111;1183;-86;;;;;
;;-5;-111;1183;-86;;;;;
;;-7;-111;1183;-86;;;;;
;;-11;-111;1183;-87;;;;;
;;-12;-111;1191;-87;;;;;
;;-13;-111;1191;-87;;;;;
;;-13;-111;1191;-87;;;;;
;;-15;-111;1191;-213;;;;;
;;-15;-114;1191;-213;;;;;
;;-16;-117;374;-213;;;;;
;;-8;-123;374;-213;;;;;
;;-8;-123;374;-213;;;;;
;;-1;-129;374;-213;;;;;
;;2;-130;374;0;;;;;
;;6;-130;374;0;;;;;
;;6;-130;0;0;;;;;
